sampleID,volmm3
Y251,1.27549550353272
Y252,1.93222081935315
Y253,2.85186078638706
Y254,1.55086679448589
Y255,1.57540029709766
Y256,2.70852371798266
Y257,1.8570411523223
Y258,1.65312272384856
Y259,3.08081200630113
Y260,1.68878088967081
Y261,1.67377557816591
Y262,3.0615046583344
Y263,2.98216221770606
Y264,2.79474776814176
Y265,4.36785293007736
Y266,2.93049340011917
Y267,2.28098973256063
Y268,4.23326949251701
Y269,5.56127745747787
Y270,3.8260253841241
Y271,5.88224515134969
Y272,3.56312270063931
Y273,5.56834828627002
Y274,7.45717179374101
Y275,4.86640349358004
Y276,4.77171156658634
Y277,7.02123422973344
Y278,4.55841697787236
Y279,3.79436236168205
Y280,6.71167226558937
Y281,3.50547938306118
Y282,3.84576269801945
Y283,7.09874204127372
Y284,5.2217442652812
Y285,3.68681724894615
Y286,6.2719289979984
Y193,3.67250895177644
Y195,2.80524475860955
Y196,3.68534075735717
Y198,6.04286847383522
Y199,2.81737321065055
Y200,4.08203451999135
Y201,4.0042024084769
Y202,2.36354647861714
Y207,3.23575732542853
Y208,4.49566963320073
Y209,2.93311275059267
Y210,5.49315114068067
Y211,2.34841187053254
Y212,3.73558486622982
Y213,3.60354355743531
Y214,2.02054708678087
Y143,2.4576907424294
Y144,4.13019615622579
Y145,2.70011154554502
Y146,2.0081596108032
C525,2.97029661121169
C526,4.03841413142143
C531,4.95613067200452
C532,2.84154041106676
C472,1.76678133509085
C473,1.95020790125017
C474,2.04857714521847
C475,2.25967273398198
C362,4.16633943254371
C363,2.57815586732036
C364,2.7974957124259
C367,3.23813157039174
C368,2.33411761112839
C369,1.96462207040067
C372,2.19229146425961
C376,2.70012373929484
Y157,3.04872294549701
Y161,2.89071154605288
Y159,2.93402534945659
Y165,2.73051036771507
Y167,2.30047125479177
Y013,1.96478943180543
Y015,1.88348367839681
Y027,3.1101412567026
Y031,2.45876181915914
Y041,2.60219669858414
Y045,1.66259726055662
Y053,1.55417476299183
Y057,1.24951275579119
Y083,2.03466478919752
Y087,2.66751985929406
Y131,2.14062530973773
Y135,2.22112451938124
Y181,3.84448220177113
Y185,4.29085937854627
Y189,2.7708615131735
